subject_id,condition,region_name,mean_activation_na_m
sub-01,video1,Parahippocampal-rh,2.8115710402227543e-10
sub-01,video1,Paracentral-lh,1.750847621761371e-09
sub-01,video1,Paracentral-rh,1.2929271894505882e-09
sub-01,video1,Pars Opercularis-lh,8.018541187228942e-10
sub-01,video1,Pars Opercularis-rh,5.996294186689184e-10
sub-01,video1,Pars Orbitalis-lh,7.150236313422131e-10
sub-01,video1,Pars Orbitalis-rh,7.910767394834499e-10
sub-01,video1,Pars Triangularis-lh,9.399711700213345e-10
sub-01,video1,Pars Triangularis-rh,8.538441178740208e-10
sub-01,video1,Pericalcarine-lh,5.009968574165335e-10
sub-01,video1,Pericalcarine-rh,5.150986014916616e-10
sub-01,video1,Postcentral-lh,8.781152299365992e-10
sub-01,video1,Postcentral-rh,7.372048445166096e-10
sub-01,video1,Posterior Cingulate-lh,8.736926462514258e-10
sub-01,video1,Posterior Cingulate-rh,6.855175309293353e-10
sub-01,video1,Precentral-lh,1.095517254950543e-09
sub-01,video1,Precentral-rh,7.565027752224186e-10
sub-01,video1,Precuneus-lh,8.888830496044189e-10
sub-01,video1,Precuneus-rh,7.357031601412238e-10
sub-01,video1,Rostral Anterior Cingulate-lh,3.2572497852611903e-10
sub-01,video1,Rostral Anterior Cingulate-rh,3.869008105106223e-10
sub-01,video1,Rostral Middle Frontal-lh,1.1011757065903109e-09
sub-01,video1,Rostral Middle Frontal-rh,9.1805744286781e-10
sub-01,video1,Superior Frontal-lh,1.1892172841800348e-09
sub-01,video1,Superior Frontal-rh,1.1447784524459062e-09
sub-01,video1,Superior Parietal-lh,1.8130739497082884e-09
sub-01,video1,Superior Parietal-rh,1.0333207737461265e-09
sub-01,video1,Superior Temporal-lh,6.005513373321566e-10
sub-01,video1,Superior Temporal-rh,6.252318893886653e-10
sub-01,video1,Supramarginal-lh,8.89199951686686e-10
sub-01,video1,Supramarginal-rh,7.721837493848524e-10
sub-01,video1,Transverse Temporal-lh,3.8852832368247906e-10
sub-01,video1,Transverse Temporal-rh,3.6716772040814364e-10
sub-01,video1,Insula-lh,3.269138604838328e-10
sub-01,video1,Insula-rh,3.1508392314924466e-10
sub-02,video1,Caudal Anterior Cingulate-lh,1.1618469356812996e-09
sub-02,video1,Caudal Anterior Cingulate-rh,8.891072463110517e-10
sub-02,video1,Caudal Middle Frontal-lh,1.7639054062021838e-09
sub-02,video1,Caudal Middle Frontal-rh,1.408830303038334e-09
sub-02,video1,Cuneus-lh,1.3292336481435508e-09
sub-02,video1,Cuneus-rh,1.4800694925841743e-09
sub-02,video1,Entorhinal-lh,1.0615865818050643e-09
sub-02,video1,Entorhinal-rh,6.081843888877441e-10
sub-02,video1,Fusiform-lh,1.7946939992016884e-09
sub-02,video1,Fusiform-rh,1.1734984605149217e-09
sub-02,video1,Inferior Parietal-lh,2.4015862141308362e-09
sub-02,video1,Inferior Parietal-rh,1.2805193709738769e-09
sub-02,video1,Inferior temporal-lh,2.1947326042882556e-09
sub-02,video1,Inferior temporal-rh,1.0910508687019272e-09
sub-02,video1,Isthmus Cingulate-lh,7.441825704690139e-10
sub-02,video1,Isthmus Cingulate-rh,8.179633936690549e-10
sub-02,video1,Lateral Occipital-lh,2.4486456125684284e-09
sub-02,video1,Lateral Occipital-rh,1.8294072998293857e-09
sub-02,video1,Lateral Orbitofrontal-lh,1.665842961252063e-09
sub-02,video1,Lateral Orbitofrontal-rh,1.0422696832962452e-09
sub-02,video1,Lingual-lh,1.2547305870895878e-09
